sampleid	Candida_glabrata	Candida_tropicalis	Debaryomyces_hansenii	Schizophyllum_commune	Saccharomyces_cerevisiae	Fusarium_oxysporum	Pyrenophora_tritici-repentis	Malassezia_globosa	Candida_albicans	Torulaspora_delbrueckii	Stereum_hirsutum	Coniosporium_apollinis	Trichosporon_asahii	Agaricus_bisporus	Candida_orthopsilosis	Malassezia_sympodialis	Cyphellophora_europaea	Wallemia_ichthyophaga	Pseudozyma_hubeiensis	Bipolaris_zeicola	Aureobasidium_namibiae	Aureobasidium_pullulans	Penicillium_expansum	Rhodotorula_graminis	Pneumocystis_jirovecii	Alternaria_alternata	Wickerhamomyces_anomalus	Hyphopichia_burtonii	Cyberlindnera_jadinii	Tilletiopsis_washingtonensis	Malassezia_restricta	Byssochlamys_spectabilis	Sporisorium_graminicola	Ramularia_collo-cygni
13722.58cfa831e4b0c9d6adf6c5b3	0	0	0	0	14	0	0	9237	0	0	2	0	93	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	174	0	0	258
13722.58cfa831e4b0c9d6adf6c576	0	0	0	0	0	0	0	15293	0	0	0	1	24	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	1	0	86
13722.58cfa831e4b0c9d6adf6c4c4	0	0	0	0	0	0	0	20880	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
13722.58cfa831e4b0c9d6adf6c518	0	0	0	0	3	0	0	12767	0	0	0	0	21	19	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	1	108
13722.58cfa831e4b0c9d6adf6c5b8	0	0	0	0	0	0	0	17186	0	0	3	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	1	36
13722.58cfa831e4b0c9d6adf6c5e2	0	0	0	0	1	0	0	3354	6	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13
13722.58cfa830e4b0c9d6adf6c214	0	915	0	0	0	0	0	22868	4	0	0	0	1763	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	15	0	0	3294
13722.58cfa831e4b0c9d6adf6c5f4	0	0	0	0	6	0	0	20827	1	0	0	0	39	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	107
13722.58cfa831e4b0c9d6adf6c61a	0	0	0	0	0	0	0	16764	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	10
13722.58cfa831e4b0c9d6adf6c5da	0	0	0	0	2	0	0	22999	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
