G000002515	G000002545	G000003855	G000006335	G000006445	G000026945	G000091025	G000146045	G000149425	G000149645	G000149955	G000181695	G000182965	G000185945	G000226395	G000243375	G000300575	G000315645	G000349305	G000721785	G000769745	G001298625	G001417885	G001642055	G001661405	G002079055	G002775015	G003290485	G004154835	G004353045	G900007375
0	0	1	0	0	0	0	0	0	0	0	14445	0	0	0	0	0	9	0	0	0	0	0	0	0	1	1	9	1	3	0
0	0	1	0	0	0	0	2	0	0	1	8609	0	0	0	0	6	0	2	0	0	0	0	0	2	0	3	21	0	0	0
0	0	2	0	0	0	0	1	0	0	0	19121	1	0	1	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0
0	0	5	0	7	0	0	7	0	13	1	12639	0	0	11	0	36	2	0	19	7	0	0	5	0	0	0	159	11	7	1
0	0	3	0	0	0	0	0	0	0	0	8190	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	2	0	0	0	0	2	0	0	0	14666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0
0	0	10	0	0	0	0	4	0	0	0	34969	1	0	0	0	5	1	0	0	0	0	0	0	0	0	2	4	20	8	0
0	0	1	0	0	0	0	0	0	0	0	27249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0
0	0	0	0	0	0	0	2	0	54	0	30740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0	0	8	1	0	9	0	3	0	0	0	50576	162	0	0	0	4	0	0	0	0	0	1	0	0	0	4	7	0	0	0
0	0	0	0	0	0	0	0	0	0	0	35901	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	3	1	0
0	0	0	0	0	0	0	9	0	0	0	6082	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	2	10	0	0	0	0	14	0	0	0	42912	0	0	0	0	31	0	0	0	0	0	0	0	0	0	1	7	6	2	1
0	0	0	0	0	0	0	0	0	0	0	6786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	1	0	0	0	0	0	0	0	0	26631	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	9	0	0	0	6081	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	26631	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	1	0	0	0	0	0	0	0	0	7878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	3276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
