Candida_glabrata	Candida_tropicalis	Debaryomyces_hansenii	Schizophyllum_commune	Saccharomyces_cerevisiae	Fusarium_oxysporum	Pyrenophora_tritici-repentis	Malassezia_globosa	Candida_albicans	Torulaspora_delbrueckii	Stereum_hirsutum	Coniosporium_apollinis	Trichosporon_asahii	Agaricus_bisporus	Candida_orthopsilosis	Malassezia_sympodialis	Cyphellophora_europaea	Wallemia_ichthyophaga	Pseudozyma_hubeiensis	Bipolaris_zeicola	Aureobasidium_namibiae	Aureobasidium_pullulans	Penicillium_expansum	Rhodotorula_graminis	Pneumocystis_jirovecii	Alternaria_alternata	Wickerhamomyces_anomalus	Hyphopichia_burtonii	Cyberlindnera_jadinii	Tilletiopsis_washingtonensis	Malassezia_restricta	Byssochlamys_spectabilis	Sporisorium_graminicola	Ramularia_collo-cygni
0	0	0	0	0	0	0	35901	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
0	0	0	0	9	0	0	6082	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
2	0	0	0	14	0	0	42912	0	0	0	1	120	31	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	7	1	1	611
0	0	0	0	0	0	0	6786	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6
0	0	0	0	0	0	0	26631	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9
0	0	0	0	9	0	0	6081	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0	0	0	0	26631	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9
0	0	0	0	0	0	0	7878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	7054	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0	0	0	0	0	17967	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	10
0	0	0	0	0	0	0	27633	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1
0	0	0	0	0	0	0	3905	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
0	0	0	0	0	0	0	15916	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8
0	0	0	0	0	0	0	1689	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	7585	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
0	0	0	0	0	0	0	6763	2	0	0	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12
0	0	0	0	0	0	0	6786	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6
0	0	0	0	1	1	0	21422	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	22
0	0	0	0	7	0	0	10328	1	0	0	0	26191	22	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	25	32	0	0	83902
1	6	1	0	0	0	0	6938	1682	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	3840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
0	0	0	0	1	0	0	17615	126	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	25
0	0	0	0	2	0	0	32225	10	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	16	0	0	21
0	0	0	0	2	0	0	17729	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	32
0	0	0	0	0	2	0	18275	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	2	0	73
0	0	0	0	0	0	0	4675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	4	0	0	13489	4	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
0	0	0	0	0	0	0	23602	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	27
0	0	0	0	0	0	0	12820	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
0	0	0	0	0	0	0	4502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	18350	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	32
0	0	0	0	0	0	0	15434	19	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	0	13
1	0	0	0	0	0	0	20590	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114
0	0	0	0	0	0	0	24242	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5
