sampleid,G000002515,G000002545,G000003855,G000006335,G000006445,G000026945,G000091025,G000146045,G000149425,G000149645,G000149955,G000181695,G000182965,G000185945,G000226395,G000243375,G000300575,G000315645,G000349305,G000721785,G000769745,G001298625,G001417885,G001642055,G001661405,G002079055,G002775015,G003290485,G004154835,G004353045,G900007375
13722.58cfa82fe4b0c9d6adf6b701,0,0,3,0,0,0,0,0,0,0,0,27902,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,2,0
13722.58cfa82fe4b0c9d6adf6b8d4,0,1,0,0,0,0,0,0,0,0,0,36757,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
13722.58cfa82fe4b0c9d6adf6b896,0,0,0,0,0,0,0,0,0,0,0,14974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
13722.58cfa82fe4b0c9d6adf6b8f2,0,0,0,0,0,0,0,0,0,0,0,14384,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,6,0
13722.58cfa82fe4b0c9d6adf6b697,0,0,1,0,0,0,0,6,0,0,0,22396,1,0,2,0,26,0,0,0,0,0,0,0,0,0,1,3,1,15,0
13722.58cfa82fe4b0c9d6adf6b942,0,0,4,0,0,0,0,0,0,0,0,14997,0,1,0,0,10,0,0,0,0,0,0,0,0,0,1,1,1,1,0
13722.58cfa82fe4b0c9d6adf6b904,0,0,1,0,0,0,0,0,0,0,0,14445,0,0,0,0,0,9,0,0,0,0,0,0,0,1,1,9,1,3,0
13722.58cfa82fe4b0c9d6adf6ba08,0,0,1,0,0,0,0,2,0,0,1,8609,0,0,0,0,6,0,2,0,0,0,0,0,2,0,3,21,0,0,0
13722.58cfa82fe4b0c9d6adf6ba48,0,0,2,0,0,0,0,1,0,0,0,19121,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0
13722.58cfa82fe4b0c9d6adf6b9c6,0,0,5,0,7,0,0,7,0,13,1,12639,0,0,11,0,36,2,0,19,7,0,0,5,0,0,0,159,11,7,1
13722.58cfa830e4b0c9d6adf6ba9b,0,0,3,0,0,0,0,0,0,0,0,8190,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13722.58cfa830e4b0c9d6adf6be6c,0,0,2,0,0,0,0,2,0,0,0,14666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
13722.58cfa830e4b0c9d6adf6be82,0,0,10,0,0,0,0,4,0,0,0,34969,1,0,0,0,5,1,0,0,0,0,0,0,0,0,2,4,20,8,0
13722.58cfa830e4b0c9d6adf6c02c,0,0,1,0,0,0,0,0,0,0,0,27249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0
13722.58cfa830e4b0c9d6adf6c120,0,0,0,0,0,0,0,2,0,54,0,30740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
13722.58cfa830e4b0c9d6adf6c192,0,0,8,1,0,9,0,3,0,0,0,50576,162,0,0,0,4,0,0,0,0,0,1,0,0,0,4,7,0,0,0
13722.58cfa830e4b0c9d6adf6c228,0,0,0,0,0,0,0,0,0,0,0,35901,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,3,1,0
13722.58cfa831e4b0c9d6adf6c32f,0,0,0,0,0,0,0,9,0,0,0,6082,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13722.58cfa830e4b0c9d6adf6c12e,0,2,10,0,0,0,0,14,0,0,0,42912,0,0,0,0,31,0,0,0,0,0,0,0,0,0,1,7,6,2,1
13722.58cfa831e4b0c9d6adf6c332,0,0,0,0,0,0,0,0,0,0,0,6786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
13722.58cfa831e4b0c9d6adf6c33c,0,0,1,0,0,0,0,0,0,0,0,26631,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
13722.58cfa831e4b0c9d6adf6c33e,0,0,0,0,0,0,0,9,0,0,0,6081,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13722.58cfa831e4b0c9d6adf6c342,0,0,1,0,0,0,0,0,0,0,0,26631,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
13722.58cfa831e4b0c9d6adf6c388,0,0,1,0,0,0,0,0,0,0,0,7878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13722.58cfa831e4b0c9d6adf6c3ac,0,0,0,0,0,0,0,0,0,0,0,3276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
